"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"May 2008","127.35","114.60","135.09","110.30","6.80M","12.24%"
"Abr 2008","113.46","101.57","119.93","99.55","5.63M","11.70%"
"Mar 2008","101.58","101.63","111.80","98.65","5.99M","-0.26%"
"Feb 2008","101.84","91.36","103.05","86.24","5.14M","11.00%"
"Ene 2008","91.75","96.05","100.09","86.11","5.46M","-4.41%"
"Dic 2007","95.98","88.79","97.92","85.82","4.25M","8.20%"
"Nov 2007","88.71","95.15","99.29","88.45","6.16M","-6.16%"
"Oct 2007","94.53","81.75","95.28","78.35","6.02M","15.76%"
"Sep 2007","81.66","73.90","83.90","73.48","4.78M","10.29%"
"Ago 2007","74.04","77.94","78.77","68.63","4.98M","-5.33%"
"Jul 2007","78.21","70.52","78.28","69.57","4.25M","10.65%"
"Jun 2007","70.68","64.23","71.06","63.80","4.42M","10.42%"
"May 2007","64.01","65.66","66.38","60.68","4.71M","-2.59%"
